date,asset,episode,log_growth,cost_fraction,turnover,event,price,quantity_change,equity_after
2021-01-01,LTC,1,-0.0006409806635682242,0.0006407752793475137,0.44191398575690594,entry,124.22,0.003557510753154934,0.9993592247206525
2021-01-01,LTC,1,-0.00014529099278857513,0.00014528043856351175,0.0,funding,124.22,0.0,0.9992140373742027
2021-01-01,LTC,1,0.03412410611688862,0.0,0.0,mark,133.97,0.0,1.0338997672174632
2021-01-01,LTC,1,-0.03887056374655267,0.0,0.0,mark,122.89,0.0,0.9944825480725066
2021-01-01,LTC,1,0.011912544015912402,0.0,0.0,mark,126.24,0.0,1.0064002090955755
2021-01-02,LTC,1,-0.00014140546683762408,0.0,0.0,mark,126.2,0.0,1.0062579086654493
2021-01-02,LTC,1,-0.00014659498838742664,0.00014658424386709693,0.0,funding,126.2,0.0,1.0061104071107723
2021-01-02,LTC,1,0.0543625125818121,0.0,0.0,mark,142.0,0.0,1.0623190770106201
2021-01-02,LTC,1,-0.06520559697158428,0.0,0.0,mark,123.15,0.0,0.9952599993136496
2021-01-02,LTC,1,0.04818350888394227,0.0,0.0,mark,136.96,0.0,1.0443892228147194
2021-01-03,LTC,1,-6.812846897876923e-05,0.0,0.0,mark,136.94,0.0,1.0443180725996561
2021-01-03,LTC,1,-0.0006766415707938126,0.0006764127005101643,0.4664915175932167,rotation,136.94,-0.003557510753154934,1.0436116825919775
2021-01-03,DOGE,2,-0.0005029289902503364,0.0005028025426646962,0.34676037425151457,entry,0.0105245,34.38483325847755,1.0430869519844157
2021-01-03,DOGE,2,-0.0001139891869380361,0.00011398269041744939,0.0,funding,0.0105245,0.0,1.042968058127289
2021-01-03,DOGE,2,0.044085696370781004,0.0,0.0,mark,0.011891630735025664,0.0,1.0899766204936865
2021-01-03,DOGE,2,-0.0002720121021581786,0.0002719751102205125,0.18756904153138793,partial_tp,0.011891630735025664,-17.192416629238775,1.08968017398219
2021-01-03,DOGE,2,0.03348665741334445,0.0,0.0,mark,0.01405,0.0,1.1267877576253726
2021-01-03,DOGE,2,-0.07574071177303579,0.0,0.0,mark,0.0092693,0.0,1.044595971445971
2021-01-03,DOGE,2,0.009037512044528396,0.0,0.0,mark,0.0098209,0.0,1.054079308458659
2021-01-04,DOGE,2,-3.425234985637396e-05,0.0,0.0,mark,0.0098188,0.0,1.0540432043837376
2021-01-04,DOGE,2,-5.261861052557149e-05,5.26172261907979e-05,0.0,funding,0.0098188,0.0,1.0539877435540377
2021-01-04,DOGE,2,-0.010847737438242064,0.0,0.0,mark,0.009157369264974334,0.0,1.0426161507860927
2021-01-04,DOGE,2,-0.00021897712912205943,0.00021895315538049022,0.151002176124476,stop,0.009157369264974334,-17.192416629238775,1.0423878666900275
2021-01-14,ADA,3,-0.00046203669559875447,0.0004619299730818815,0.31857239522888375,entry,0.31246,1.0627792339786482,1.0419063564908264
2021-01-14,ADA,3,-0.00010471829471992094,0.00010471281195072071,0.0,funding,0.31246,0.0,1.041797255546449
2021-01-14,ADA,3,0.012258056804790111,0.0,0.0,mark,0.32455,0.0,1.0546462564852508
2021-01-14,ADA,3,-0.028714974879600817,0.0,0.0,mark,0.29646,0.0,1.0247927878027905
2021-01-14,ADA,3,0.01599774959461009,0.0,0.0,mark,0.31201,0.0,1.0413190048911585
2021-01-15,ADA,3,2.0411965637947406e-05,0.0,0.0,mark,0.31203,0.0,1.041340260475838
2021-01-15,ADA,3,-0.00010463102821614418,0.00010462555458102155,0.0,funding,0.31203,0.0,1.0412313096735781
2021-01-15,ADA,3,0.020428358891901893,0.0,0.0,mark,0.33225,0.0,1.0627207057846264
2021-01-15,ADA,3,-0.05642541104588278,0.0,0.0,mark,0.27739,0.0,1.0044166370085579
2021-01-15,ADA,3,0.02558296251007567,0.0,0.0,mark,0.30188,0.0,1.0304441004486948
2021-01-16,ADA,3,1.0313744849438475e-05,0.0,0.0,mark,0.30189,0.0,1.0304547282410346
2021-01-16,ADA,3,-0.0001023001113658732,0.00010229487888792676,0.0,funding,0.30189,0.0,1.0303493179994097
2021-01-16,ADA,3,-3.0944719209374104e-05,0.0,0.0,mark,0.30186,0.0,1.0303174346223902
2021-01-16,ADA,3,0.06499255523392038,0.0,0.0,mark,0.36696,0.0,1.0995043627544
2021-01-16,ADA,3,-0.015831890743117815,0.0,0.0,mark,0.35071,0.0,1.0822342002022471
2021-01-17,ADA,3,-0.0001374927180012567,0.0,0.0,mark,0.35057,0.0,1.0820854111094902
2021-01-17,ADA,3,-0.0004993817924931439,0.0004992571221592632,0.3443152566615608,rotation,0.35057,-1.0627792339786482,1.081545172261209
2021-01-17,DOGE,4,-0.00022618363067662326,0.00022615805308775962,0.15597107109500663,entry,0.0092374,18.26160596652892,1.081300572110724
2021-01-17,DOGE,4,-5.125596758944335e-05,5.125465402484204e-05,0.0,funding,0.0092374,0.0,1.0812451504240037
2021-01-17,DOGE,4,0.0026700278527824347,0.0,0.0,mark,0.0093957,0.0,1.0841359626485052
2021-01-17,DOGE,4,-0.01044226477459092,0.0,0.0,mark,0.008779,0.0,1.0728740302489468
2021-01-17,DOGE,4,0.00542692595439331,0.0,0.0,mark,0.0090987,0.0,1.078712265676446
2021-01-18,DOGE,4,0.0,0.0,0.0,mark,0.0090987,0.0,1.078712265676446
2021-01-18,DOGE,4,-0.00022337224162929782,0.0002233472959075141,0.1540326178672511,rotation,0.0090987,-18.26160596652892,1.0784713382088449
2021-01-18,ADA,5,-0.0004492900752854003,0.0004491891596135031,0.30978562731965725,entry,0.38077,0.8774192295960744,1.0779869005747675
2021-01-18,ADA,5,-0.00010182854112991655,0.00010182335677998127,0.0,funding,0.38077,0.0,1.0778771363299862
2021-01-18,ADA,5,0.013317917763560892,0.0,0.0,mark,0.39724,0.0,1.0923282310414335
2021-01-18,ADA,5,-0.026955873896115798,0.0,0.0,mark,0.36413,0.0,1.0632768803495074
2021-01-18,ADA,5,0.00584184417239361,0.0,0.0,mark,0.37123,0.0,1.0695065568796396
2021-01-19,ADA,5,7.383294191301179e-05,0.0,0.0,mark,0.37132,0.0,1.0695855246103032
2021-01-19,ADA,5,-0.00010008125136372651,0.0001000762434023879,0.0,funding,0.37132,0.0,1.0694784845090026
2021-01-19,ADA,5,0.015217237755793873,0.0,0.0,mark,0.39001,0.0,1.0858774499101533
2021-01-19,ADA,5,-0.022892914820422543,0.0,0.0,mark,0.362,0.0,1.0613009372891673
2021-01-19,ADA,5,0.00428983004210199,0.0,0.0,mark,0.3672,0.0,1.0658635172830668
2021-01-20,ADA,5,0.0,0.0,0.0,mark,0.3672,0.0,1.0658635172830668
2021-01-20,ADA,5,-9.931636387448023e-05,9.931143216778426e-05,0.0,funding,0.3672,0.0,1.0657576648506701
2021-01-20,ADA,5,-0.030824647198076444,0.0,0.0,mark,0.33033,0.0,1.033407217855463
