date,net_return,event_low_ratio,event_high_ratio,internal_drawdown,turnover,cost_fraction,max_exposure,bankrupt,activity,equity
2021-01-01,0.006400209095575482,0.9944825480725066,1.0338997672174632,0.038124797388281007,0.44191398575690594,0.0007860557179110255,0.46097284351155277,0.0,1.0,1.0064002090955755
2021-01-02,0.03774742232345485,0.9889306364592896,1.0555632514874946,0.06312517505161974,0.0,0.00014658424386709693,0.47553182267002675,0.0,1.0,1.0443892228147194
2021-01-03,0.009278232130569108,0.9986392384597764,1.0788963855722125,0.07294344975189937,1.0008209333761193,0.0015651730438128223,0.4664915175932167,0.0,1.0,1.054079308458659
2021-01-04,-0.011091614904885638,0.9889083850951144,1.0,0.011091614904885638,0.151002176124476,0.00027157038157128813,0.16016210950418408,0.0,1.0,1.0423878666900275
2021-01-05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423878666900275
2021-01-06,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423878666900275
2021-01-07,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423878666900275
2021-01-08,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423878666900275
2021-01-09,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423878666900275
2021-01-10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423878666900275
2021-01-11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423878666900275
2021-01-12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423878666900275
2021-01-13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423878666900275
2021-01-14,-0.0010253973909568614,0.9831204108859134,1.011759912204416,0.02830661797629752,0.31857239522888375,0.0005666427850326022,0.3270527897546224,0.0,1.0,1.0413190048911585
2021-01-15,-0.010443393802843648,0.9645618991785733,1.0205524923610751,0.05486302135519372,0.0,0.00010462555458102155,0.33226829830957266,0.0,1.0,1.0304441004486948
2021-01-16,0.05025997987760911,0.9998770764699905,1.067019901686694,0.01570722512540923,0.0,0.00010229487888792676,0.3547029742781655,0.0,1.0,1.0822342002022471
2021-01-17,-0.003254318265993539,0.9913510680483475,1.0017572559118004,0.010387933605712996,0.5002863277565675,0.0007766698292718648,0.3443152566615608,0.0,1.0,1.078712265676446
2021-01-18,-0.008533979903374567,0.9856909151605323,1.0126224256442,0.026595806888766726,0.46381824518690834,0.0007743598123009985,0.3190854221834387,0.0,1.0,1.0695065568796396
2021-01-19,-0.0034062807498830283,0.9923276584536211,1.015306959013208,0.022632860294704127,0.0,0.0001000762434023879,0.3151389447889163,0.0,1.0,1.0658635172830668
2021-01-20,0.006585075479283331,0.9695492913479801,1.0078857320457972,0.03045070865201993,0.0,9.931143216778426e-05,0.30783669742887104,0.0,1.0,1.0728823089949902
2021-01-21,-0.016045566481602713,0.9817583783007989,1.0001308503976236,0.018370068366074577,0.4625025367648906,0.0007217184843254532,0.30703299523378574,0.0,1.0,1.0556673045790756
