date,base_return,btc_return,btc_close,base_selected_symbol,final_regime,final_position,strategy_return,equity,btc_fast_ma,btc_slow_ma,btc_risk_ma,btc_ret_lb,btc_vol,btc_trend_ok,risk_off,btc_led
2017-08-17,0.0,0.0,4285.08,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-18,0.0,-0.04123843662195337,4108.37,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-19,0.0,0.007694048978061696,4139.98,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-20,0.0,-0.012968661684355842,4086.29,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-21,0.0,-0.017201422317065118,4016.0,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-22,0.0,0.005976095617529875,4040.0,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-23,0.0,0.018319306930693058,4114.01,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-24,0.0,0.049100512638520666,4316.01,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-25,0.0,-0.008185801237717172,4280.68,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-26,0.0,0.013259575581449523,4337.44,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-27,0.0,-0.006324006787413627,4310.01,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-28,0.0,0.017791142015911587,4386.69,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-29,0.0,0.04577255288155757,4587.48,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-30,0.0,-0.007049622014700718,4555.14,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-31,0.0,0.03726559447130051,4724.89,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-09-01,0.0,0.023285198173925714,4834.91,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-09-02,0.0,-0.0750313863132922,4472.14,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-09-03,0.0,0.008260027637775114,4509.08,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-09-04,0.0,-0.09069921136905978,4100.11,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-09-05,0.0,0.0649641107189809,4366.47,ALT,BASE,ALT,0.0,1.0,4328.539,,,,,False,False,False
2017-09-06,0.0,0.058010246262999665,4619.77,ALT,BASE,ALT,0.0,1.0,4345.2735,,,,,False,False,False
2017-09-07,0.0,0.015550557711747404,4691.61,ALT,BASE,ALT,0.0,1.0,4374.4355000000005,,,,,False,False,False
2017-09-08,0.0,-0.08713639880552726,4282.8,ALT,BASE,ALT,0.0,1.0,4381.576500000001,,,,,False,False,False
2017-09-09,0.0,-0.005601475670122258,4258.81,ALT,BASE,ALT,0.0,1.0,4390.2025,,,,,False,False,False
2017-09-10,0.0,-0.03015865934380746,4130.37,ALT,BASE,ALT,0.0,1.0,4395.921,,,,,False,False,False
2017-09-11,0.0,0.018908717620939708,4208.47,ALT,BASE,ALT,0.0,1.0,4404.3445,,,,,False,False,False
2017-09-12,0.0,-0.01063331804670109,4163.72,ALT,BASE,ALT,0.0,1.0,4406.83,,,,,False,False,False
2017-09-13,0.0,-0.05260440183297632,3944.69,ALT,BASE,ALT,0.0,1.0,4388.264,,,,,False,False,False
2017-09-14,0.0,-0.1915663841772104,3189.02,ALT,BASE,ALT,0.0,1.0,4333.681,,,,,False,False,False
2017-09-15,0.0,0.16023104276548916,3700.0,ALT,CASH,CASH,0.0,1.0,4301.808999999999,,,,0.05924349307260401,False,True,False
2017-09-16,0.0,0.004040540540540594,3714.95,ALT,CASH,CASH,0.0,1.0,4272.0560000000005,,,,0.05925490435702558,False,True,False
2017-09-17,0.0,-0.00402697209922076,3699.99,ALT,CASH,CASH,0.0,1.0,4237.721,,,,0.058827996382132985,False,True,False
2017-09-18,0.0,0.09054619066538039,4035.01,ALT,CASH,CASH,0.0,1.0,4210.097500000001,,,,0.06110454325283474,False,True,False
2017-09-19,0.0,-0.030971422623487954,3910.04,ALT,CASH,CASH,0.0,1.0,4177.842500000001,,,,0.06132745824399703,False,True,False
2017-09-20,0.0,-0.002567748667532843,3900.0,ALT,CASH,CASH,0.0,1.0,4136.598,,,,0.061243103963468784,False,True,False
2017-09-21,0.0,-0.07436153846153848,3609.99,ALT,CASH,CASH,0.0,1.0,4075.3520000000003,,,,0.06270411064992462,False,True,False
2017-09-22,0.0,-0.003911368175535057,3595.87,ALT,CASH,CASH,0.0,1.0,4031.5385,,,,0.06259416913774908,False,True,False
2017-09-23,0.0,0.051205966845297546,3780.0,ALT,CASH,CASH,0.0,1.0,3995.0845,,,,0.06265309468424544,False,True,False
2017-09-24,0.0,-0.031740740740740736,3660.02,ALT,CASH,CASH,0.0,1.0,3973.0800000000004,,,,0.06286801738610404,False,True,False
2017-09-25,0.0,0.07123731564308389,3920.75,ALT,CASH,CASH,0.0,1.0,3950.7940000000003,,,,0.06422015400441793,False,True,False
2017-09-26,0.0,-0.009794044506790778,3882.35,ALT,CASH,CASH,0.0,1.0,3913.923,,,,0.06423232360810509,False,True,False
2017-09-27,0.0,0.08001596970906788,4193.0,ALT,CASH,CASH,0.0,1.0,3888.9924999999994,,,,0.06580271007227553,False,True,False
2017-09-28,0.0,-0.004412115430479369,4174.5,ALT,CASH,CASH,0.0,1.0,3883.5774999999994,,,,0.06527174430204231,False,True,False
2017-09-29,0.0,4.5514432866156085e-05,4174.69,ALT,CASH,CASH,0.0,1.0,3879.3714999999997,,,,0.06526209767755713,False,True,False
2017-09-30,0.0,0.04882278684165775,4378.51,ALT,CASH,CASH,0.0,1.0,3891.7785000000003,,,,0.06551880404937893,False,True,False
2017-10-01,0.0,-6.851645879657475e-06,4378.48,ALT,CASH,CASH,0.0,1.0,3900.279,,,,0.06537212802706596,False,True,False
2017-10-02,0.0,0.0003471524364619949,4380.0,ALT,CASH,CASH,0.0,1.0,3911.093,,,,0.0639151092077401,False,True,False
2017-10-03,0.0,-0.01598173515981738,4310.0,ALT,CASH,CASH,0.0,1.0,3929.3585,,,,0.06397648031282913,False,True,False
