date,base_return,btc_return,btc_close,base_selected_symbol,signal_regime,signal_position,executed_regime,executed_position,strategy_return,equity,btc_fast_ma,btc_slow_ma,btc_risk_ma,btc_ret_lb,btc_vol,btc_trend_ok,risk_off,btc_led
2017-08-17,0.0,0.0,4285.08,ALT,BASE,ALT,CASH,CASH,0.0,1.0,,,,,,False,False,False
2017-08-18,0.0,-0.04123843662195337,4108.37,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-19,0.0,0.007694048978061696,4139.98,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-20,0.0,-0.012968661684355842,4086.29,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-21,0.0,-0.017201422317065118,4016.0,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-22,0.0,0.005976095617529875,4040.0,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-23,0.0,0.018319306930693058,4114.01,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-24,0.0,0.049100512638520666,4316.01,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-25,0.0,-0.008185801237717172,4280.68,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-26,0.0,0.013259575581449523,4337.44,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-27,0.0,-0.006324006787413627,4310.01,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-28,0.0,0.017791142015911587,4386.69,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-29,0.0,0.04577255288155757,4587.48,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-30,0.0,-0.007049622014700718,4555.14,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-08-31,0.0,0.03726559447130051,4724.89,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-09-01,0.0,0.023285198173925714,4834.91,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-09-02,0.0,-0.0750313863132922,4472.14,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-09-03,0.0,0.008260027637775114,4509.08,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-09-04,0.0,-0.09069921136905978,4100.11,ALT,BASE,ALT,BASE,ALT,0.0,1.0,,,,,,False,False,False
2017-09-05,0.0,0.0649641107189809,4366.47,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4328.539,,,,0.03726348570203961,False,False,False
2017-09-06,0.0,0.058010246262999665,4619.77,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4345.2735,,,0.0781058930054983,0.03922811682254899,False,False,False
2017-09-07,0.0,0.015550557711747404,4691.61,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4374.4355000000005,,,0.1419638445417526,0.03784183241565963,False,False,False
2017-09-08,0.0,-0.08713639880552726,4282.8,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4381.576500000001,,,0.03449775119686582,0.04308450236712325,False,False,False
2017-09-09,0.0,-0.005601475670122258,4258.81,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4390.2025,,,0.04221922575245518,0.04298077943158547,False,False,False
2017-09-10,0.0,-0.03015865934380746,4130.37,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4395.921,,,0.02847858565737038,0.04337647670098956,False,False,False
2017-09-11,0.0,0.018908717620939708,4208.47,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4404.3445,,,0.041700495049505015,0.04352159128476178,False,False,False
2017-09-12,0.0,-0.01063331804670109,4163.72,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4406.83,,,0.012083101402281526,0.043469945393301394,False,False,False
2017-09-13,0.0,-0.05260440183297632,3944.69,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4388.264,,,-0.08603316489072088,0.04356071596476496,False,False,False
2017-09-14,0.0,-0.1915663841772104,3189.02,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4333.681,,,-0.25502023043067934,0.05983718205841457,False,False,False
2017-09-15,0.0,0.16023104276548916,3700.0,ALT,CASH,CASH,BASE,ALT,0.0,1.0,4301.808999999999,,,-0.14696226345494112,0.07062475459780516,False,True,False
2017-09-16,0.0,0.004040540540540594,3714.95,ALT,CASH,CASH,CASH,CASH,0.0,1.0,4272.0560000000005,,,-0.13806464486161296,0.0706536406500656,False,True,False
2017-09-17,0.0,-0.00402697209922076,3699.99,ALT,CASH,CASH,CASH,CASH,0.0,1.0,4237.721,,,-0.15654172052276316,0.07046428170661297,False,True,False
2017-09-18,0.0,0.09054619066538039,4035.01,ALT,CASH,CASH,CASH,CASH,0.0,1.0,4210.097500000001,,,-0.12042995282813207,0.07274505570495211,False,True,False
2017-09-19,0.0,-0.030971422623487954,3910.04,ALT,CASH,CASH,CASH,CASH,0.0,1.0,4177.842500000001,,,-0.14162023560197934,0.07298701483982697,False,True,False
2017-09-20,0.0,-0.002567748667532843,3900.0,ALT,CASH,CASH,CASH,CASH,0.0,1.0,4136.598,,,-0.17458395856834763,0.07235080297583461,False,True,False
2017-09-21,0.0,-0.07436153846153848,3609.99,ALT,CASH,CASH,CASH,CASH,0.0,1.0,4075.3520000000003,,,-0.2533490799208259,0.07343832344054242,False,True,False
2017-09-22,0.0,-0.003911368175535057,3595.87,ALT,CASH,CASH,CASH,CASH,0.0,1.0,4031.5385,,,-0.19593975143890852,0.07199537128996084,False,True,False
2017-09-23,0.0,0.051205966845297546,3780.0,ALT,CASH,CASH,CASH,CASH,0.0,1.0,3995.0845,,,-0.16169152022141986,0.07308605134367223,False,True,False
2017-09-24,0.0,-0.031740740740740736,3660.02,ALT,CASH,CASH,CASH,CASH,0.0,1.0,3973.0800000000004,,,-0.10733614464002184,0.07076399156463783,False,True,False
2017-09-25,0.0,0.07123731564308389,3920.75,ALT,CASH,CASH,CASH,CASH,0.0,1.0,3950.7940000000003,,,-0.10207787984344341,0.07107815582735416,False,True,False
2017-09-26,0.0,-0.009794044506790778,3882.35,ALT,CASH,CASH,CASH,CASH,0.0,1.0,3913.923,,,-0.15962266519761814,0.06970161276404055,False,True,False
2017-09-27,0.0,0.08001596970906788,4193.0,ALT,CASH,CASH,CASH,CASH,0.0,1.0,3888.9924999999994,,,-0.10627694970383295,0.07208136031205592,False,True,False
2017-09-28,0.0,-0.004412115430479369,4174.5,ALT,CASH,CASH,CASH,CASH,0.0,1.0,3883.5774999999994,,,-0.025287195292799103,0.06945723587036762,False,True,False
2017-09-29,0.0,4.5514432866156085e-05,4174.69,ALT,CASH,CASH,CASH,CASH,0.0,1.0,3879.3714999999997,,,-0.019751996449712705,0.0694405225708648,False,True,False
2017-09-30,0.0,0.04882278684165775,4378.51,ALT,CASH,CASH,CASH,CASH,0.0,1.0,3891.7785000000003,,,0.06007694225941029,0.06977430846688218,False,True,False
2017-10-01,0.0,-6.851645879657475e-06,4378.48,ALT,CASH,CASH,CASH,CASH,0.0,1.0,3900.279,,,0.04039710393563434,0.06971327662634509,False,True,False
2017-10-02,0.0,0.0003471524364619949,4380.0,ALT,CASH,CASH,CASH,CASH,0.0,1.0,3911.093,,,0.05194393475065562,0.06963530530763734,False,True,False
2017-10-03,0.0,-0.01598173515981738,4310.0,ALT,CASH,CASH,CASH,CASH,0.0,1.0,3929.3585,,,0.09260803764047365,0.06856911953570927,False,True,False
2017-10-04,0.0,-0.02352900232018562,4208.59,ALT,BASE,ALT,CASH,CASH,0.0,1.0,3980.3369999999995,,,0.3197126389925433,0.05204513931234082,False,False,False
2017-10-05,0.0,0.019921161244027097,4292.43,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4009.9584999999997,,,0.1601162162162162,0.04012141284886036,False,False,False
2017-10-06,0.0,0.017838380590947223,4369.0,ALT,BASE,ALT,BASE,ALT,0.0,1.0,4042.661,,,0.17605889715877754,0.040161810670584115,False,False,False
