ts,selected,gross_exposure,raw_strategy_ret,turnover,cost,strategy_ret,selected_ret_next,best_available_next,equity,in_market,leader_gap_ret,missed_leader_bar,pain_bar,model_key
2018-05-04,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-05,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-06,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-07,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-08,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-09,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-10,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-11,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-12,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-13,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-14,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-15,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-16,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-17,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-18,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-19,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-20,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-21,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-22,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-23,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-24,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-25,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
2018-05-26,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False,phase48_bnb_trend_loose
