date,net_return,event_low_ratio,event_high_ratio,internal_drawdown,turnover,cost_fraction,max_exposure,bankrupt,activity,equity
2021-01-01,0.0026677509566606084,0.9977002020655737,1.014130184666542,0.016201058650444078,0.18419967858233538,0.00032762305001251624,0.19588951510830166,0.0,1.0,1.0026677509566606
2021-01-02,0.015792543915154056,0.9953688649695994,1.0232462254419896,0.02724403939076203,0.0,6.132200759644064e-05,0.20523361238664237,0.0,1.0,1.0185024254459525
2021-01-03,0.0324642550257761,0.9976890863481833,1.0371027316496957,0.0380036076453274,0.015791329243826858,8.32149101793787e-05,0.21289776119678286,0.0,1.0,1.0515673479300014
2021-01-04,-0.0008049226475295157,0.9851142723982373,1.010651652336054,0.014885727601762655,0.2733407823830617,0.0004173693112198667,0.20935133839823752,0.0,1.0,1.05072091755625
2021-01-05,0.0013398361191312436,0.9940378435249783,1.0033754483058395,0.009306192210131736,0.0,2.0931988441965118e-05,0.06681665354585306,0.0,1.0,1.0521287113927185
2021-01-06,0.002908828323447965,0.9972575026181946,1.006685494885318,0.00936538006658938,0.0,2.1343022315179864e-05,0.07115075677359128,0.0,1.0,1.0551891731883305
2021-01-07,-0.004411876474831544,0.989459101394191,1.0009743912792564,0.011504080409438622,0.0,2.22242654278662e-05,0.06858276624334626,0.0,1.0,1.050533808898644
2021-01-08,-4.632686375904971e-05,0.9938542266922371,1.0037230306093878,0.00983219834176674,0.0,2.08924201551515e-05,0.06703801129343084,0.0,1.0,1.0504851409620048
2021-01-09,0.002841480708006605,0.9993830328280462,1.0068268804806704,0.0073933739721674385,0.0,2.0884430229770726e-05,0.06989180406490861,0.0,1.0,1.0534700742240959
2021-01-10,-0.0023557691702642547,0.9920085550109669,1.0047684898413456,0.012699377975511128,0.0,2.1768142793989512e-05,0.07064882538692809,0.0,1.0,1.0509883419014427
2021-01-11,-0.00645744806909887,0.9797023467501491,1.000145200681647,0.020439886046111022,0.0,2.1023102156941016e-05,0.06416915853033588,0.0,1.0,1.0442016392623859
2021-01-12,-0.004952151564650786,0.9933485685559251,1.0019939009772274,0.00862812878688246,0.0,1.8993939896063027e-05,0.059843606461889715,0.0,1.0,1.0390305944807017
2021-01-13,0.0038931467072007564,0.997933870390353,1.004065898465888,0.006107196833299522,0.0,1.7504757674126107e-05,0.057131841343769446,0.0,1.0,1.043075693018285
2021-01-14,0.0046898770606143,0.997595114434743,1.0093485653873413,0.004615539652487954,0.0,1.8727490004238498e-05,0.06572247355156882,0.0,1.0,1.0479675897834557
2021-01-15,-0.00026990117844316597,0.9929299483993889,1.0029451670561487,0.00998580878170685,0.0,2.0174130398567473e-05,0.06416664320480213,0.0,1.0,1.047684742096003
2021-01-16,-0.000772753918237945,0.9981502540212442,1.001385807582533,0.003231075911790504,0.0,2.010134230434413e-05,0.06247639204942466,0.0,1.0,1.0468751396064702
2021-01-17,-0.0009275372486143851,0.9969802913015645,1.0010160815208475,0.003019708698435486,0.0,1.9860739104696607e-05,0.06142465445355779,0.0,1.0,1.0459041239198368
2021-01-18,0.000501163908835256,0.9989081439506476,1.001429988868009,0.0010918560493523577,0.0,1.9580690983414674e-05,0.0609611240110437,0.0,1.0,1.0464282933188473
2021-01-19,-0.0009062010035942869,0.9985517102583205,1.0032373734207312,0.004670542871059502,0.0,1.9741883585370292e-05,0.06314205904360937,0.0,1.0,1.0454800189492524
2021-01-20,0.002570654984954457,0.9865641339491797,1.00313278664169,0.01651690874144285,0.1899100667086053,0.0003183028947791478,0.13367453091367462,0.0,1.0,1.0481675873716345
