date,net_return,event_low_ratio,event_high_ratio,internal_drawdown,turnover,cost_fraction,max_exposure,bankrupt,activity,equity
2021-01-01,0.0026677509566606084,0.9977002020655737,1.014130184666542,0.016201058650444078,0.18419967858233538,0.00032762305001251624,0.19588951510830166,0.0,1.0,1.0026677509566606
2021-01-02,0.015792543915154056,0.9953688649695994,1.0232462254419896,0.02724403939076203,0.0,6.132200759644064e-05,0.20523361238664237,0.0,1.0,1.0185024254459525
2021-01-03,0.023976791696420197,0.9998876706439139,1.02629603000838,0.019201889196234445,0.11397841889245836,0.00022558619016989438,0.19937846367342033,0.0,1.0,1.0429228459431688
2021-01-04,-0.0006480411991358626,0.985268943050035,1.010810332556397,0.025268231520513273,0.16953206161583434,0.00026684666610738713,0.10554261763101018,0.0,1.0,1.0422469889714776
2021-01-05,0.0013398361191314656,0.9940378435249784,1.0033754483058397,0.009306192210131847,0.0,2.0931988441965118e-05,0.06681665354585305,0.0,1.0,1.0436434291323575
2021-01-06,0.002908828323447965,0.9972575026181945,1.0066854948853179,0.009365380066589268,0.0,2.134302231517986e-05,0.07115075677359128,0.0,1.0,1.046679208698598
2021-01-07,-0.004411876474831211,0.9894591013941911,1.0009743912792566,0.011504080409438622,0.0,2.2224265427866195e-05,0.06858276624334625,0.0,1.0,1.0420613893210458
2021-01-08,-4.632686375927175e-05,0.993854226692237,1.0037230306093876,0.00983219834176663,0.0,2.0892420155151497e-05,0.06703801129343083,0.0,1.0,1.042013113885034
2021-01-09,0.002841480708006605,0.9993830328280463,1.0068268804806706,0.0073933739721673275,0.0,2.088443022977072e-05,0.0698918040649086,0.0,1.0,1.044973974045628
2021-01-10,-0.0023557691702641437,0.992008555010967,1.0047684898413456,0.012699377975511128,0.0,2.1768142793989502e-05,0.07064882538692804,0.0,1.0,1.042512256573843
2021-01-11,-0.01783205275930122,0.9821679472406988,1.000145200681647,0.017974643510458077,0.04710513251628116,8.932554430554869e-05,0.06416915853033586,0.0,1.0,1.0239221230124
2021-01-12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0239221230124
2021-01-13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0239221230124
2021-01-14,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0239221230124
2021-01-15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0239221230124
2021-01-16,-0.0009446479255806883,0.9979117043196079,1.001347508260596,0.0034311803970594745,0.06497196910880586,0.00011555739320459114,0.06634563146496793,0.0,1.0,1.0229548771029402
2021-01-17,-0.000985112559512502,0.9967928479752779,1.001079153068161,0.00428168449991817,0.0,2.1093560999810326e-05,0.06523337612434232,0.0,1.0,1.0219471514056915
2021-01-18,0.0005323034895159395,0.9988403019952693,1.0015188405449609,0.0026744764464281534,0.0,2.0797327887850288e-05,0.06474317007976653,0.0,1.0,1.0224911374404857
2021-01-19,-0.0009624774150355231,0.9984617693411669,1.003438419058388,0.004385816199416914,0.0,2.096788351128456e-05,0.0670498369421682,0.0,1.0,1.0215070128136252
2021-01-20,0.002565299767930629,0.9865588642307626,1.0031274284220477,0.01651690874144285,0.19359353357391632,0.00032364392173384884,0.13367453091367465,0.0,1.0,1.0241274845165356
2021-01-21,-0.0066931068002668015,0.9923915869228763,1.0000567787661145,0.007664756647813298,0.19802549956896576,0.00030842439354848445,0.13323800428982133,0.0,1.0,1.0172728898855778
2021-01-22,0.0024960401437501556,0.9957030504787231,1.0043915405451933,0.008650501040414982,0.0,1.9295368077434265e-05,0.06286503813511564,0.0,1.0,1.019812043855881
