date,strategy_return,base_return,btc_return,equity,executed_regime,executed_position,base_strength_lb,baseline_is_weak,chosen_asset,weekly_authorized_asset,profile
2018-05-04,0.0,0.0,-0.0036933333333333,1.0,CASH,CASH,,False,,,phase66j_core_reaction_B
2018-05-05,0.0,0.0,0.0154426759755774,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-06,0.0,0.0,-0.0207816301703163,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-07,0.0,0.0,-0.0304389373238044,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-08,0.0,0.0,-0.0189471436198612,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-09,0.0,0.0,0.0133267156894758,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-10,0.0,0.0,-0.0330612244897958,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-11,0.0,0.0,-0.0668947590588967,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-12,0.0,0.0,0.0078500000000001,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-13,0.0,0.0,0.0252505923736761,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-14,0.0,0.0,-0.0018860077122391,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-15,0.0,0.0,-0.0232404592224245,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-16,0.0,0.0,-0.0155991491373197,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-17,0.0,0.0,-0.0346386554621849,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-18,0.0,0.0,0.0246659188754281,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-19,0.0,0.0,-0.0007670079771256,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-20,0.0,0.0,0.0356458804225181,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-21,0.0,0.0,-0.017091631503768,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-22,0.0,0.0,-0.0482184020502932,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-23,0.0,0.0,-0.0595654315911401,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-24,0.0,0.0,0.0097388012450096,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-25,0.0,0.0,-0.0155788573216405,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-26,0.0,0.0,-0.016499932948907,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-27,0.0,0.0,0.0006858504818678,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-28,0.0,0.0,-0.0327006849716378,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-29,0.0,0.0,0.0510339484434427,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-30,0.0,0.0,-0.0114363602004479,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-05-31,0.0,0.0,0.0147845161850119,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-06-01,0.0,0.0,0.0048096128128085,1.0,BASE,0.0,,False,,,phase66j_core_reaction_B
2018-06-02,0.0,0.0,0.0158250022270944,1.0,BASE,0.0,0.0,True,,,phase66j_core_reaction_B
2018-06-03,0.0,0.0,0.0097159304348282,1.0,BASE,0.0,0.0,True,,,phase66j_core_reaction_B
2018-06-04,0.0,0.0,-0.0294597278287224,1.0,BASE,0.0,0.0,True,,,phase66j_core_reaction_B
2018-06-05,0.0,0.0,0.0184319487110993,1.0,BASE,0.0,0.0,True,,,phase66j_core_reaction_B
