date,strategy_ret,asset,held_asset,is_exposed,leverage,borrowed_fraction,daily_borrow_cost,leveraged_ret_gross,leveraged_ret,equity_curve
2018-05-04,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-05,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-06,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-07,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-08,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-09,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-10,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-11,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-12,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-13,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-14,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-15,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-16,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-17,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-18,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-19,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-20,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-21,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-22,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-23,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-24,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-25,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-26,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-27,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-28,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-29,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-30,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-05-31,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-01,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-02,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-03,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-04,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-05,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-06,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-07,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-08,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-09,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-10,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-11,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-12,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-13,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-14,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-15,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-16,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-17,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-18,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-19,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-20,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-21,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-22,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-23,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-24,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-25,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-26,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-27,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-28,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-29,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-06-30,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-07-01,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-07-02,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-07-03,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-07-04,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-07-05,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-07-06,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-07-07,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-07-08,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-07-09,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-07-10,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
2018-07-11,0.0,nan,CASH,False,1.5,0.5,0.0,0.0,0.0,1.0
