ts,date,daily_selected,selected,gross_exposure,strategy_ret,selected_ret_next,turnover,cost,candidate_active,actually_in_trade,missed_entry_bar,missed_positive_bar,missed_bar_coin_ret
2017-08-17 04:00:00,2017-08-17,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-17 08:00:00,2017-08-17,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-17 12:00:00,2017-08-17,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-17 16:00:00,2017-08-17,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-17 20:00:00,2017-08-17,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-18 00:00:00,2017-08-18,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-18 04:00:00,2017-08-18,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-18 08:00:00,2017-08-18,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-18 12:00:00,2017-08-18,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-18 16:00:00,2017-08-18,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-18 20:00:00,2017-08-18,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-19 00:00:00,2017-08-19,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-19 04:00:00,2017-08-19,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-19 08:00:00,2017-08-19,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-19 12:00:00,2017-08-19,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-19 16:00:00,2017-08-19,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-19 20:00:00,2017-08-19,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-20 00:00:00,2017-08-20,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-20 04:00:00,2017-08-20,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-20 08:00:00,2017-08-20,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-20 12:00:00,2017-08-20,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-20 16:00:00,2017-08-20,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-20 20:00:00,2017-08-20,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-21 00:00:00,2017-08-21,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-21 04:00:00,2017-08-21,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-21 08:00:00,2017-08-21,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-21 12:00:00,2017-08-21,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-21 16:00:00,2017-08-21,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-21 20:00:00,2017-08-21,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-22 00:00:00,2017-08-22,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-22 04:00:00,2017-08-22,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-22 08:00:00,2017-08-22,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-22 12:00:00,2017-08-22,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-22 16:00:00,2017-08-22,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-22 20:00:00,2017-08-22,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-23 00:00:00,2017-08-23,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-23 04:00:00,2017-08-23,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-23 08:00:00,2017-08-23,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-23 12:00:00,2017-08-23,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-23 16:00:00,2017-08-23,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-23 20:00:00,2017-08-23,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-24 00:00:00,2017-08-24,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-24 04:00:00,2017-08-24,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-24 08:00:00,2017-08-24,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-24 12:00:00,2017-08-24,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-24 16:00:00,2017-08-24,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-24 20:00:00,2017-08-24,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-25 00:00:00,2017-08-25,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-25 04:00:00,2017-08-25,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-25 08:00:00,2017-08-25,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-25 12:00:00,2017-08-25,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-25 16:00:00,2017-08-25,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-25 20:00:00,2017-08-25,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-26 00:00:00,2017-08-26,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-26 04:00:00,2017-08-26,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-26 08:00:00,2017-08-26,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-26 12:00:00,2017-08-26,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-26 16:00:00,2017-08-26,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-26 20:00:00,2017-08-26,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-27 00:00:00,2017-08-27,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-27 04:00:00,2017-08-27,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-27 08:00:00,2017-08-27,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-27 12:00:00,2017-08-27,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-27 16:00:00,2017-08-27,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-27 20:00:00,2017-08-27,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-28 00:00:00,2017-08-28,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-28 04:00:00,2017-08-28,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-28 08:00:00,2017-08-28,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-28 12:00:00,2017-08-28,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-28 16:00:00,2017-08-28,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-28 20:00:00,2017-08-28,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-29 00:00:00,2017-08-29,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-29 04:00:00,2017-08-29,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-29 08:00:00,2017-08-29,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-29 12:00:00,2017-08-29,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-29 16:00:00,2017-08-29,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-29 20:00:00,2017-08-29,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-30 00:00:00,2017-08-30,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-30 04:00:00,2017-08-30,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-30 08:00:00,2017-08-30,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-30 12:00:00,2017-08-30,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-30 16:00:00,2017-08-30,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-30 20:00:00,2017-08-30,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-31 00:00:00,2017-08-31,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-31 04:00:00,2017-08-31,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
2017-08-31 08:00:00,2017-08-31,CASH,CASH,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0
