ts,selected,state,gross_exposure,raw_strategy_ret,turnover,cost,strategy_ret,selected_ret_next,best_available_next,equity,in_market,leader_gap_ret,missed_leader_bar,pain_bar
2018-05-04,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-05,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-06,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-07,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-08,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-09,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-10,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-11,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-12,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-13,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-14,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-15,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-16,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-17,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-18,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-19,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-20,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-21,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-22,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-23,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-24,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-25,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-26,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-27,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-28,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-29,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-30,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-05-31,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-01,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-02,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-03,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-04,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-05,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-06,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-07,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-08,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-09,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-10,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-11,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-12,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-13,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-14,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-15,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-16,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-17,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-18,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-19,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-20,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-21,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-22,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-23,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-24,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-25,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-26,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-27,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-28,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-29,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-06-30,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-07-01,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-07-02,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-07-03,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-07-04,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-07-05,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,False,False
2018-07-06,BTCUSDT,reserve,1.0,0.022270030167418575,1.0,0.0015,0.020770030167418574,0.022270030167418575,0.032095564010457656,1.0207700301674185,1,0.00982553384303908,True,False
2018-07-07,BTCUSDT,reserve,1.0,-0.006642020547640959,0.0,0.0,-0.006642020547640959,-0.006642020547640959,0.0024713223634078574,1.0139900546526304,1,0.009113342911048816,True,False
2018-07-08,BTCUSDT,reserve,1.0,-0.007446253780486023,0.0,0.0,-0.007446253780486023,-0.007446253780486023,-0.007446253780486023,1.006439627374798,1,0.0,False,False
2018-07-09,CASH,cash,0.0,0.0,1.0,0.0015,-0.0015,0.0,0.0,1.0049299679337358,0,0.0,False,False
2018-07-10,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0049299679337358,0,0.0,False,False
2018-07-11,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0049299679337358,0,0.0,False,False
2018-07-12,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0049299679337358,0,0.0,False,False
2018-07-13,BTCUSDT,reserve,1.0,0.006021333736686563,1.0,0.0015,0.004521333736686563,0.006021333736686563,0.006021333736686563,1.0094735917007618,1,0.0,False,False
2018-07-14,BTCUSDT,reserve,1.0,0.016158055275200534,0.0,0.0,0.016158055275200534,0.016158055275200534,0.038297282947436395,1.025784721794318,1,0.02213922767223586,True,True
2018-07-15,BTCUSDT,reserve,1.0,0.05829362774495861,0.0,0.0,0.05829362774495861,0.05829362774495861,0.06383120636755746,1.0855814345130619,1,0.005537578622598849,True,False
2018-07-16,BTCUSDT,reserve,1.0,0.08836220039117393,0.0,0.0,0.08836220039117393,0.08836220039117393,0.08836220039117393,1.1815057987704431,1,0.0,False,False
2018-07-17,BTCUSDT,reserve,1.0,0.00880909170420252,0.0,0.0,0.00880909170420252,0.00880909170420252,0.00880909170420252,1.191913791700859,1,0.0,False,False
2018-07-18,BTCUSDT,reserve,1.0,0.011421178829298828,0.0,0.0,0.011421178829298828,0.011421178829298828,0.011421178829298828,1.2055268522649822,1,0.0,False,False
2018-07-19,BTCUSDT,reserve,1.0,-0.017234982675279786,0.0,0.0,-0.017234982675279786,-0.017234982675279786,-0.017234982675279786,1.1847496178516106,1,0.0,False,False
2018-07-20,BTCUSDT,reserve,1.0,0.008347495683152184,0.0,0.0,0.008347495683152184,0.008347495683152184,0.024919828968466007,1.194639310172243,1,0.016572333285313823,True,False
2018-07-21,BTCUSDT,reserve,1.0,-0.0005392780971997801,0.0,0.0,-0.0005392780971997801,-0.0005392780971997801,-0.0005392780971997801,1.1939950673582134,1,0.0,False,False
2018-07-22,BTCUSDT,reserve,1.0,0.0441148430178544,0.0,0.0,0.0441148430178544,0.0441148430178544,0.0441148430178544,1.2466679723188134,1,0.0,False,False
2018-07-23,BTCUSDT,reserve,1.0,0.08758310117458712,0.0,0.0,0.08758310117458712,0.08758310117458712,0.08758310117458712,1.3558550194695294,1,0.0,False,False
2018-07-24,CASH,cash,0.0,0.0,1.0,0.0015,-0.0015,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-07-25,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-07-26,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-07-27,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-07-28,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-07-29,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-07-30,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-07-31,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-01,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-02,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-03,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-04,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-05,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-06,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-07,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-08,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-09,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-10,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-11,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-12,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-13,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-14,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-15,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-16,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-17,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-18,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-19,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-20,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-21,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-22,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-23,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-24,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-25,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-26,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-27,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353821236940325,0,0.0,False,False
2018-08-28,BTCUSDT,reserve,1.0,-0.006343881030679177,1.0,0.0015,-0.007843881030679177,-0.006343881030679177,-0.006343881030679177,1.3432020242209584,1,0.0,False,False
2018-08-29,BTCUSDT,reserve,1.0,-0.006596294810857883,0.0,0.0,-0.006596294810857883,-0.006596294810857883,-0.006596294810857883,1.3343418676786558,1,0.0,False,False
2018-08-30,CASH,cash,0.0,0.0,1.0,0.0015,-0.0015,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-08-31,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-01,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-02,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-03,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-04,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-05,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-06,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-07,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-08,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-09,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-10,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-11,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-12,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-13,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-14,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-15,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
2018-09-16,CASH,cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.332340354877138,0,0.0,False,False
