profile,decision_date,period_start,period_end,incumbent_asset_before,incumbent_hold_periods_before,selected_asset,selected,keep_reason,best_passed_asset,best_passed_score
phase66e_probation_base,2019-05-04,2019-05-05,2019-05-10,,0,,False,best_passed,,
phase66e_probation_base,2019-05-11,2019-05-12,2019-05-17,,0,,False,best_passed,,
phase66e_probation_base,2019-05-18,2019-05-19,2019-05-24,,0,,False,best_passed,,
phase66e_probation_base,2019-05-25,2019-05-26,2019-05-31,,0,,False,best_passed,,
phase66e_probation_base,2019-06-01,2019-06-02,2019-06-07,,0,,False,best_passed,,
phase66e_probation_base,2019-06-08,2019-06-09,2019-06-14,,0,,False,best_passed,,
phase66e_probation_base,2019-06-15,2019-06-16,2019-06-21,,0,,False,best_passed,,
phase66e_probation_base,2019-06-22,2019-06-23,2019-06-28,,0,,False,best_passed,,
phase66e_probation_base,2019-06-29,2019-06-30,2019-07-05,,0,,False,best_passed,,
phase66e_probation_base,2019-07-06,2019-07-07,2019-07-12,,0,,False,best_passed,,
phase66e_probation_base,2019-07-13,2019-07-14,2019-07-19,,0,,False,best_passed,,
phase66e_probation_base,2019-07-20,2019-07-21,2019-07-26,,0,,False,best_passed,,
phase66e_probation_base,2019-07-27,2019-07-28,2019-08-02,,0,,False,best_passed,,
phase66e_probation_base,2019-08-03,2019-08-04,2019-08-09,,0,,False,best_passed,,
phase66e_probation_base,2019-08-10,2019-08-11,2019-08-16,,0,,False,best_passed,,
phase66e_probation_base,2019-08-17,2019-08-18,2019-08-23,,0,,False,best_passed,,
phase66e_probation_base,2019-08-24,2019-08-25,2019-08-30,,0,,False,best_passed,,
phase66e_probation_base,2019-08-31,2019-09-01,2019-09-06,,0,,False,best_passed,,
phase66e_probation_base,2019-09-07,2019-09-08,2019-09-13,,0,,False,best_passed,,
phase66e_probation_base,2019-09-14,2019-09-15,2019-09-20,,0,,False,best_passed,,
phase66e_probation_base,2019-09-21,2019-09-22,2019-09-27,,0,,False,best_passed,,
phase66e_probation_base,2019-09-28,2019-09-29,2019-10-04,,0,,False,best_passed,,
phase66e_probation_base,2019-10-05,2019-10-06,2019-10-11,,0,,False,best_passed,,
phase66e_probation_base,2019-10-12,2019-10-13,2019-10-18,,0,,False,best_passed,,
phase66e_probation_base,2019-10-19,2019-10-20,2019-10-25,,0,,False,best_passed,,
phase66e_probation_base,2019-10-26,2019-10-27,2019-11-01,,0,,False,best_passed,,
phase66e_probation_base,2019-11-02,2019-11-03,2019-11-08,,0,,False,best_passed,,
phase66e_probation_base,2019-11-09,2019-11-10,2019-11-15,,0,,False,best_passed,,
phase66e_probation_base,2019-11-16,2019-11-17,2019-11-22,,0,,False,best_passed,,
phase66e_probation_base,2019-11-23,2019-11-24,2019-11-29,,0,,False,best_passed,,
phase66e_probation_base,2019-11-30,2019-12-01,2019-12-06,,0,,False,best_passed,,
phase66e_probation_base,2019-12-07,2019-12-08,2019-12-13,,0,,False,best_passed,,
phase66e_probation_base,2019-12-14,2019-12-15,2019-12-20,,0,,False,best_passed,,
